COL.,DATA TYPE  ,,,,,,,,,,,,,,,
1,Date Time (AST),,,,,,,,,,,,,,,
2,0-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
3,5-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
4,10-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
5,15-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
6,20-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
7,40-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
8,60-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
9,80-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
10,100-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
11,120-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
12,135-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
13,150-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
,"NOTE:,6999 DENOTES MISSING DATA OR INVALID DATA",,,,,,,,,,,,,,,
,",7777 DENOTES UNCOLLECTED DATA ",,,,,,,,,,,,,,,
ID,Year,Month,Day,Hour,Depth.0.cm,Depth.5.cm,Depth.10.cm,Depth.15.cm,Depth.20.cm,Depth.40.cm,Depth.60.cm,Depth.80.cm,Depth.100.cm,Depth.120.cm,Depth.135.cm,Depth.150.cm
123,2011,1,6,2,-4.262,-2.94,-3.393,-2.94,-2.494,-1.73,-0.259,-0.208,7777,-0.568,-0.62,-0.986
124,2011,1,6,3,-4.258,-2.937,-3.389,-2.937,-2.491,-1.781,-0.256,-0.256,7777,-0.565,-0.617,-1.035
125,2011,1,6,4,-4.258,-2.937,-3.389,-2.937,-2.546,-1.781,-0.256,-0.256,7777,-0.565,-0.669,-1.035
126,2011,1,6,5,-4.286,-2.964,-3.36,-2.964,-2.518,-1.807,-0.229,-0.229,7777,-0.538,-0.642,-1.008
127,2011,1,6,6,-4.284,-2.962,-3.415,-2.962,-2.515,-1.805,-0.228,-0.228,7777,-0.537,-0.64,-1.006
128,2011,1,6,7,-4.225,-2.962,-3.415,-2.962,-2.515,-1.805,-0.228,-0.228,7777,-0.537,-0.64,-1.006
129,2011,1,6,8,-4.225,-2.962,-3.415,-2.962,-2.516,-1.805,-0.228,-0.228,7777,-0.537,-0.64,-1.006
130,2011,1,6,9,-4.228,-2.908,-3.418,-2.964,-2.518,-1.808,-0.23,-0.23,7777,-0.539,-0.643,-1.009
131,2011,1,6,10,-4.167,-2.905,-3.415,-2.962,-2.515,-1.805,-0.228,-0.228,7777,-0.537,-0.64,-1.006
132,2011,1,6,11,-4.172,-2.91,-3.362,-2.966,-2.576,-1.81,-0.283,-0.232,7777,-0.541,-0.645,-1.01
133,2011,1,6,12,-4.168,-2.906,-3.416,-2.963,-2.572,-1.806,-0.28,-0.229,7777,-0.538,-0.641,-1.007
134,2011,1,6,13,-4.167,-2.905,-3.415,-2.961,-2.571,-1.805,-0.279,-0.228,7777,-0.536,-0.64,-1.006
135,2011,1,6,14,-4.159,-2.898,-3.407,-2.954,-2.564,-1.798,-0.272,-0.221,7777,-0.53,-0.633,-1.052
136,2011,1,6,15,-4.139,-2.88,-3.388,-2.936,-2.545,-1.78,-0.256,-0.204,7777,-0.513,-0.617,-1.035
137,2011,1,6,16,-4.134,-2.874,-3.383,-2.93,-2.54,-1.829,-0.302,-0.251,7777,-0.56,-0.612,-1.029
138,2011,1,6,17,-4.129,-2.926,-3.436,-2.982,-2.536,-1.879,-0.298,-0.298,7777,-0.608,-0.66,-1.026
