COL.,DATA TYPE  ,,,,,,,,,,,,,,,
1,Date Time (AST),,,,,,,,,,,,,,,
2,0-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
3,5-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
4,10-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
5,15-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
6,20-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
7,40-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
8,60-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
9,80-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
10,100-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
11,120-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
12,135-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
13,150-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
,"NOTE:,6999 DENOTES MISSING DATA OR INVALID DATA",,,,,,,,,,,,,,,
,",7777 DENOTES UNCOLLECTED DATA ",,,,,,,,,,,,,,,
ID,Year,Month,Day,Hour,Depth.0.cm,Depth.5.cm,Depth.10.cm,Depth.15.cm,Depth.20.cm,Depth.40.cm,Depth.60.cm,Depth.80.cm,Depth.100.cm,Depth.120.cm,Depth.135.cm,Depth.150.cm
3133,2011,5,11,12,-6.481,-6.354,-6.609,-6.481,-6.418,-6.545,-6.418,-6.545,7777,-6.481,-6.354,-6.673
3134,2011,5,11,13,-6.418,-6.291,-6.609,-6.481,-6.418,-6.545,-6.418,-6.545,7777,-6.481,-6.354,-6.673
3135,2011,5,11,14,-6.409,-6.282,-6.6,-6.473,-6.409,-6.536,-6.346,-6.536,7777,-6.473,-6.346,-6.6
3136,2011,5,11,15,-6.373,-6.246,-6.564,-6.436,-6.373,-6.5,-6.373,-6.5,7777,-6.436,-6.309,-6.628
3137,2011,5,11,16,-6.334,-6.27,-6.524,-6.397,-6.334,-6.461,-6.334,-6.524,7777,-6.397,-6.334,-6.588
3138,2011,5,11,17,-6.345,-6.219,-6.536,-6.409,-6.345,-6.473,-6.345,-6.536,7777,-6.409,-6.345,-6.6
3139,2011,5,11,18,-6.379,-6.189,-6.506,-6.379,-6.379,-6.506,-6.379,-6.506,7777,-6.379,-6.316,-6.634
3140,2011,5,11,19,-6.354,-6.228,-6.545,-6.418,-6.354,-6.481,-6.354,-6.545,7777,-6.418,-6.291,-6.609
3141,2011,5,11,20,-6.342,-6.215,-6.533,-6.342,-6.342,-6.469,-6.342,-6.469,7777,-6.405,-6.278,-6.597
3142,2011,5,11,21,-6.358,-6.232,-6.549,-6.358,-6.358,-6.486,-6.358,-6.486,7777,-6.422,-6.295,-6.613
3143,2011,5,11,22,-6.311,-6.184,-6.502,-6.311,-6.311,-6.438,-6.311,-6.438,7777,-6.374,-6.311,-6.565
3144,2011,5,11,23,-6.317,-6.191,-6.444,-6.317,-6.254,-6.444,-6.317,-6.444,7777,-6.381,-6.254,-6.572
3145,2011,5,12,0,-6.326,-6.199,-6.453,-6.326,-6.326,-6.453,-6.326,-6.517,7777,-6.389,-6.326,-6.581
3146,2011,5,12,1,-6.326,-6.199,-6.453,-6.326,-6.326,-6.453,-6.326,-6.453,7777,-6.389,-6.326,-6.581
3147,2011,5,12,2,-6.326,-6.199,-6.453,-6.326,-6.326,-6.453,-6.326,-6.453,7777,-6.389,-6.326,-6.581
3148,2011,5,12,3,-6.33,-6.203,-6.457,-6.33,-6.266,-6.457,-6.33,-6.457,7777,-6.393,-6.33,-6.585
3149,2011,5,12,4,-6.39,-6.2,-6.517,-6.326,-6.326,-6.453,-6.326,-6.517,7777,-6.453,-6.326,-6.645
3150,2011,5,12,5,-6.315,-6.188,-6.442,-6.315,-6.251,-6.442,-6.315,-6.442,7777,-6.378,-6.315,-6.569
3151,2011,5,12,6,-6.368,-6.178,-6.495,-6.305,-6.305,-6.432,-6.305,-6.495,7777,-6.432,-6.305,-6.623
3152,2011,5,12,7,-6.406,-6.216,-6.47,-6.342,-6.279,-6.47,-6.342,-6.533,7777,-6.406,-6.342,-6.661
3153,2011,5,12,8,-6.31,-6.184,-6.437,-6.31,-6.31,-6.437,-6.31,-6.501,7777,-6.437,-6.31,-6.629
3154,2011,5,12,9,-6.337,-6.21,-6.464,-6.337,-6.273,-6.464,-6.337,-6.527,7777,-6.4,-6.337,-6.655
3155,2011,5,12,10,-6.328,-6.202,-6.455,-6.328,-6.265,-6.455,-6.328,-6.518,7777,-6.391,-6.328,-6.582
3156,2011,5,12,11,-6.257,-6.131,-6.384,-6.257,-6.257,-6.384,-6.257,-6.447,7777,-6.384,-6.257,-6.575
3157,2011,5,12,12,-6.193,-6.13,-6.382,-6.256,-6.256,-6.446,-6.319,-6.51,7777,-6.382,-6.256,-6.637
3158,2011,5,12,13,-6.185,-6.123,-6.438,-6.311,-6.248,-6.438,-6.311,-6.502,7777,-6.438,-6.311,-6.629
3159,2011,5,12,14,-6.113,-6.113,-6.428,-6.239,-6.239,-6.365,-6.302,-6.492,7777,-6.428,-6.302,-6.619
3160,2011,5,12,15,-6.106,-6.106,-6.358,-6.294,-6.231,-6.421,-6.294,-6.485,7777,-6.421,-6.294,-6.612
3161,2011,5,12,16,-6.113,-6.05,-6.365,-6.238,-6.238,-6.365,-6.302,-6.492,7777,-6.428,-6.302,-6.619
3162,2011,5,12,17,-6.113,-6.05,-6.365,-6.238,-6.238,-6.365,-6.302,-6.492,7777,-6.428,-6.302,-6.619
3163,2011,5,12,18,-6.074,-6.012,-6.326,-6.2,-6.2,-6.389,-6.263,-6.452,7777,-6.389,-6.263,-6.58
3164,2011,5,12,19,-6.08,-5.955,-6.332,-6.206,-6.206,-6.332,-6.269,-6.459,7777,-6.332,-6.269,-6.586
3165,2011,5,12,20,-6.067,-5.942,-6.256,-6.193,-6.13,-6.319,-6.256,-6.446,7777,-6.382,-6.256,-6.573
3166,2011,5,12,21,-6.076,-5.951,-6.265,-6.202,-6.139,-6.328,-6.265,-6.455,7777,-6.328,-6.265,-6.582
3167,2011,5,12,22,-6.05,-5.987,-6.302,-6.176,-6.113,-6.365,-6.239,-6.429,7777,-6.365,-6.302,-6.556
3168,2011,5,12,23,-6.073,-6.01,-6.262,-6.199,-6.136,-6.389,-6.262,-6.452,7777,-6.389,-6.262,-6.58
3169,2011,5,13,0,-6.109,-5.983,-6.235,-6.109,-6.109,-6.298,-6.235,-6.425,7777,-6.361,-6.235,-6.552
3170,2011,5,13,1,-6.053,-5.99,-6.305,-6.179,-6.179,-6.368,-6.242,-6.432,7777,-6.368,-6.305,-6.624
3171,2011,5,13,2,-6.051,-5.988,-6.303,-6.176,-6.176,-6.366,-6.303,-6.43,7777,-6.366,-6.303,-6.621
3172,2011,5,13,3,-6.049,-5.924,-6.238,-6.112,-6.112,-6.301,-6.238,-6.428,7777,-6.301,-6.238,-6.555
3173,2011,5,13,4,-6.048,-5.923,-6.237,-6.111,-6.111,-6.3,-6.237,-6.427,7777,-6.363,-6.237,-6.554
3174,2011,5,13,5,-6.076,-5.951,-6.265,-6.139,-6.076,-6.328,-6.265,-6.455,7777,-6.392,-6.265,-6.583
3175,2011,5,13,6,-6.102,-5.977,-6.228,-6.165,-6.165,-6.354,-6.228,-6.481,7777,-6.418,-6.291,-6.609
3176,2011,5,13,7,-5.968,-5.906,-6.219,-6.093,-6.093,-6.282,-6.219,-6.409,7777,-6.346,-6.219,-6.536
3177,2011,5,13,8,-6.023,-5.898,-6.211,-6.085,-6.085,-6.338,-6.211,-6.401,7777,-6.401,-6.274,-6.592
3178,2011,5,13,9,-5.966,-5.842,-6.217,-6.092,-6.029,-6.28,-6.217,-6.407,7777,-6.344,-6.28,-6.598
3179,2011,5,13,10,-5.943,-5.881,-6.194,-6.131,-6.068,-6.32,-6.257,-6.447,7777,-6.383,-6.257,-6.574
3180,2011,5,13,11,-5.872,-5.81,-6.184,-6.059,-6.059,-6.31,-6.184,-6.437,7777,-6.31,-6.247,-6.564
3181,2011,5,13,12,-5.81,-5.81,-6.184,-6.059,-6.059,-6.31,-6.184,-6.437,7777,-6.374,-6.247,-6.564
3182,2011,5,13,13,-5.739,-5.739,-6.113,-6.05,-5.988,-6.239,-6.176,-6.365,7777,-6.365,-6.239,-6.556
3183,2011,5,13,14,-5.753,-5.753,-6.127,-6.002,-6.002,-6.253,-6.19,-6.379,7777,-6.316,-6.253,-6.57
3184,2011,5,13,15,-5.739,-5.739,-6.113,-6.05,-6.05,-6.302,-6.239,-6.428,7777,-6.365,-6.302,-6.619
3185,2011,5,13,16,-5.613,-5.675,-6.047,-5.985,-5.985,-6.236,-6.173,-6.362,7777,-6.299,-6.236,-6.552
3186,2011,5,13,17,-5.671,-5.733,-6.107,-5.982,-5.982,-6.296,-6.232,-6.422,7777,-6.359,-6.296,-6.549
3187,2011,5,13,18,-5.671,-5.671,-6.044,-5.982,-5.982,-6.232,-6.232,-6.422,7777,-6.359,-6.232,-6.613
3188,2011,5,13,19,-5.677,-5.677,-5.988,-5.925,-5.925,-6.238,-6.176,-6.365,7777,-6.365,-6.238,-6.555
3189,2011,5,13,20,-5.685,-5.685,-5.996,-5.934,-5.934,-6.184,-6.184,-6.373,7777,-6.31,-6.247,-6.564
3190,2011,5,13,21,-5.632,-5.632,-6.005,-5.88,-5.88,-6.193,-6.13,-6.382,7777,-6.319,-6.256,-6.509
3191,2011,5,13,22,-5.702,-5.64,-6.013,-5.95,-5.95,-6.201,-6.201,-6.391,7777,-6.327,-6.264,-6.581
3192,2011,5,13,23,-5.683,-5.683,-5.993,-5.931,-5.931,-6.181,-6.181,-6.371,7777,-6.308,-6.244,-6.562
3193,2011,5,14,0,-5.694,-5.632,-5.942,-5.88,-5.88,-6.193,-6.13,-6.382,7777,-6.319,-6.256,-6.51
3194,2011,5,14,1,-5.632,-5.632,-5.942,-5.88,-5.88,-6.193,-6.13,-6.382,7777,-6.319,-6.256,-6.51
3195,2011,5,14,2,-5.599,-5.599,-5.971,-5.846,-5.909,-6.159,-6.159,-6.348,7777,-6.285,-6.222,-6.539
3196,2011,5,14,3,-5.64,-5.64,-5.95,-5.826,-5.826,-6.201,-6.138,-6.39,7777,-6.327,-6.264,-6.581
3197,2011,5,14,4,-5.579,-5.579,-5.889,-5.826,-5.826,-6.139,-6.139,-6.328,7777,-6.328,-6.202,-6.518
3198,2011,5,14,5,-5.579,-5.579,-5.889,-5.826,-5.826,-6.139,-6.139,-6.328,7777,-6.328,-6.202,-6.518
3199,2011,5,14,6,-5.518,-5.518,-5.889,-5.826,-5.826,-6.139,-6.139,-6.328,7777,-6.328,-6.202,-6.582
3200,2011,5,14,7,-5.487,-5.548,-5.857,-5.795,-5.795,-6.17,-6.17,-6.359,7777,-6.296,-6.233,-6.55
3201,2011,5,14,8,-5.387,-5.448,-5.88,-5.756,-5.756,-6.13,-6.13,-6.382,7777,-6.319,-6.256,-6.573
3202,2011,5,14,9,-5.334,-5.396,-5.827,-5.765,-5.765,-6.076,-6.139,-6.328,7777,-6.328,-6.202,-6.518
3203,2011,5,14,10,-5.257,-5.379,-5.81,-5.748,-5.748,-6.059,-6.121,-6.374,7777,-6.31,-6.184,-6.564
3204,2011,5,14,11,-5.122,-5.304,-5.733,-5.671,-5.733,-6.107,-6.107,-6.359,7777,-6.296,-6.233,-6.549
3205,2011,5,14,12,-5.041,-5.223,-5.713,-5.651,-5.713,-6.086,-6.086,-6.338,7777,-6.275,-6.212,-6.528
3206,2011,5,14,13,-4.947,-5.188,-5.677,-5.616,-5.677,-6.113,-6.113,-6.365,7777,-6.302,-6.239,-6.556
3207,2011,5,14,14,-4.849,-5.15,-5.638,-5.638,-5.638,-6.073,-6.136,-6.324,7777,-6.324,-6.261,-6.515
3208,2011,5,14,15,-4.78,-5.08,-5.567,-5.567,-5.629,-6.001,-6.063,-6.315,7777,-6.315,-6.189,-6.505
3209,2011,5,14,16,-4.58,-4.878,-5.483,-5.545,-5.606,-6.04,-6.103,-6.291,7777,-6.291,-6.228,-6.545
3210,2011,5,14,17,-4.053,-4.463,-5.18,-5.362,-5.485,-5.979,-6.042,-6.356,7777,-6.293,-6.167,-6.546
3211,2011,5,14,18,-3.821,-4.228,-4.999,-5.18,-5.423,-5.979,-6.042,-6.293,7777,-6.293,-6.167,-6.546
3212,2011,5,14,19,-3.713,-4.06,-4.767,-5.007,-5.249,-5.925,-6.05,-6.301,7777,-6.301,-6.175,-6.492
3213,2011,5,14,20,-3.7,-3.931,-4.635,-4.874,-5.114,-5.912,-6.037,-6.288,7777,-6.288,-6.225,-6.542
3214,2011,5,14,21,-3.669,-3.842,-4.484,-4.722,-4.961,-5.879,-6.066,-6.318,7777,-6.254,-6.191,-6.508
3215,2011,5,14,22,-3.647,-3.82,-4.463,-4.641,-4.939,-5.856,-6.044,-6.295,7777,-6.295,-6.169,-6.485
3216,2011,5,14,23,-3.68,-3.853,-4.437,-4.615,-4.914,-5.83,-6.018,-6.332,7777,-6.332,-6.206,-6.523
3217,2011,5,15,0,-3.703,-3.76,-4.402,-4.58,-4.818,-5.794,-5.98,-6.295,7777,-6.295,-6.168,-6.485
3218,2011,5,15,1,-3.691,-3.806,-4.39,-4.508,-4.746,-5.719,-5.968,-6.282,7777,-6.219,-6.156,-6.473
3219,2011,5,15,2,-3.756,-3.871,-4.398,-4.575,-4.754,-5.728,-5.976,-6.291,7777,-6.228,-6.165,-6.545
3220,2011,5,15,3,-3.766,-3.882,-4.408,-4.527,-4.765,-5.677,-5.988,-6.24,7777,-6.24,-6.176,-6.493
3221,2011,5,15,4,-3.842,-3.9,-4.427,-4.545,-4.724,-5.634,-5.945,-6.259,7777,-6.259,-6.196,-6.513
3222,2011,5,15,5,-3.871,-3.929,-4.457,-4.575,-4.694,-5.604,-5.977,-6.291,7777,-6.228,-6.165,-6.545
3223,2011,5,15,6,-3.871,-3.987,-4.457,-4.516,-4.694,-5.542,-5.914,-6.228,7777,-6.228,-6.165,-6.481
3224,2011,5,15,7,-3.884,-4,-4.469,-4.529,-4.707,-5.556,-5.928,-6.242,7777,-6.242,-6.178,-6.495
3225,2011,5,15,8,-3.861,-4.035,-4.505,-4.564,-4.743,-5.592,-5.964,-6.278,7777,-6.278,-6.152,-6.532
3226,2011,5,15,9,-3.853,-4.027,-4.556,-4.556,-4.734,-5.521,-5.893,-6.269,7777,-6.269,-6.206,-6.523
3227,2011,5,15,10,-3.792,-3.966,-4.493,-4.552,-4.671,-5.456,-5.889,-6.202,7777,-6.202,-6.139,-6.455
3228,2011,5,15,11,-3.785,-4.016,-4.545,-4.545,-4.723,-5.51,-5.881,-6.257,7777,-6.257,-6.194,-6.511
3229,2011,5,15,12,-3.783,-3.956,-4.543,-4.602,-4.721,-5.508,-5.879,-6.255,7777,-6.255,-6.192,-6.509
3230,2011,5,15,13,-3.711,-4,-4.528,-4.587,-4.706,-5.431,-5.863,-6.238,7777,-6.238,-6.175,-6.492
3231,2011,5,15,14,-3.72,-3.951,-4.537,-4.597,-4.716,-5.441,-5.873,-6.249,7777,-6.249,-6.186,-6.502
3232,2011,5,15,15,-3.727,-3.958,-4.485,-4.544,-4.663,-5.448,-5.818,-6.193,7777,-6.256,-6.193,-6.51
3233,2011,5,15,16,-3.734,-3.966,-4.493,-4.552,-4.671,-5.456,-5.826,-6.202,7777,-6.265,-6.202,-6.518
3234,2011,5,15,17,-3.792,-4.024,-4.552,-4.552,-4.671,-5.456,-5.826,-6.202,7777,-6.265,-6.202,-6.518
3235,2011,5,15,18,-3.85,-4.024,-4.493,-4.552,-4.671,-5.395,-5.826,-6.202,7777,-6.265,-6.202,-6.455
3236,2011,5,15,19,-3.886,-4.002,-4.53,-4.53,-4.649,-5.373,-5.804,-6.179,7777,-6.242,-6.179,-6.495
3237,2011,5,15,20,-3.973,-4.089,-4.56,-4.56,-4.679,-5.342,-5.773,-6.21,7777,-6.21,-6.147,-6.464
3238,2011,5,15,21,-3.999,-4.058,-4.528,-4.528,-4.647,-5.37,-5.801,-6.176,7777,-6.239,-6.114,-6.493
3239,2011,5,15,22,-4.08,-4.138,-4.55,-4.55,-4.609,-5.332,-5.763,-6.137,7777,-6.2,-6.137,-6.454
3240,2011,5,15,23,-4.129,-4.129,-4.6,-4.541,-4.6,-5.323,-5.753,-6.128,7777,-6.19,-6.128,-6.444
3241,2011,5,16,0,-4.153,-4.153,-4.566,-4.566,-4.625,-5.348,-5.717,-6.154,7777,-6.217,-6.154,-6.47
3242,2011,5,16,1,-4.155,-4.155,-4.567,-4.567,-4.627,-5.289,-5.719,-6.156,7777,-6.156,-6.156,-6.473
3243,2011,5,16,2,-4.214,-4.214,-4.627,-4.567,-4.627,-5.289,-5.719,-6.156,7777,-6.156,-6.156,-6.473
3244,2011,5,16,3,-4.214,-4.214,-4.627,-4.567,-4.627,-5.289,-5.719,-6.093,7777,-6.156,-6.156,-6.473
3245,2011,5,16,4,-4.214,-4.214,-4.627,-4.567,-4.627,-5.228,-5.719,-6.093,7777,-6.156,-6.093,-6.473
3246,2011,5,16,5,-4.272,-4.214,-4.627,-4.567,-4.627,-5.289,-5.657,-6.093,7777,-6.156,-6.156,-6.473
3247,2011,5,16,6,-4.272,-4.272,-4.627,-4.627,-4.627,-5.228,-5.657,-6.093,7777,-6.219,-6.156,-6.473
3248,2011,5,16,7,-4.233,-4.233,-4.646,-4.587,-4.646,-5.248,-5.677,-6.113,7777,-6.176,-6.113,-6.493
3249,2011,5,16,8,-4.206,-4.206,-4.619,-4.56,-4.619,-5.22,-5.649,-6.085,7777,-6.147,-6.085,-6.464
3250,2011,5,16,9,-4.148,-4.206,-4.619,-4.619,-4.679,-5.281,-5.649,-6.085,7777,-6.21,-6.147,-6.464
3251,2011,5,16,10,-4.082,-4.199,-4.612,-4.612,-4.612,-5.213,-5.641,-6.077,7777,-6.202,-6.139,-6.455
3252,2011,5,16,11,-3.992,-4.108,-4.579,-4.579,-4.638,-5.24,-5.607,-6.041,7777,-6.167,-6.104,-6.42
3253,2011,5,16,12,-3.958,-4.133,-4.604,-4.545,-4.663,-5.265,-5.632,-6.067,7777,-6.193,-6.13,-6.446
3254,2011,5,16,13,-3.893,-4.126,-4.596,-4.537,-4.596,-5.196,-5.624,-6.059,7777,-6.184,-6.121,-6.437
3255,2011,5,16,14,-3.857,-4.031,-4.56,-4.56,-4.619,-5.219,-5.647,-6.082,7777,-6.145,-6.145,-6.461
3256,2011,5,16,15,-3.834,-4.008,-4.535,-4.535,-4.595,-5.195,-5.622,-6.057,7777,-6.183,-6.12,-6.435
3257,2011,5,16,16,-3.821,-3.995,-4.463,-4.522,-4.582,-5.181,-5.609,-6.043,7777,-6.169,-6.106,-6.421
3258,2011,5,16,17,-3.778,-3.951,-4.478,-4.478,-4.537,-5.136,-5.562,-5.996,7777,-6.121,-6.059,-6.437
3259,2011,5,16,18,-3.842,-4.016,-4.485,-4.485,-4.545,-5.204,-5.571,-6.067,7777,-6.13,-6.13,-6.446
3260,2011,5,16,19,-3.862,-3.978,-4.446,-4.446,-4.505,-5.164,-5.53,-5.963,7777,-6.151,-6.088,-6.404
3261,2011,5,16,20,-3.908,-4.024,-4.434,-4.434,-4.493,-5.152,-5.579,-6.013,7777,-6.139,-6.076,-6.391
3262,2011,5,16,21,-3.968,-4.026,-4.496,-4.437,-4.555,-5.154,-5.582,-6.017,7777,-6.142,-6.079,-6.395
3263,2011,5,16,22,-4.031,-4.031,-4.441,-4.441,-4.501,-5.099,-5.526,-5.959,7777,-6.085,-6.085,-6.4
3264,2011,5,16,23,-4.054,-4.054,-4.465,-4.465,-4.465,-5.123,-5.551,-5.985,7777,-6.11,-6.047,-6.426
3265,2011,5,17,0,-4.127,-4.069,-4.48,-4.421,-4.48,-5.078,-5.505,-5.938,7777,-6.126,-6.063,-6.442
3266,2011,5,17,1,-4.125,-4.066,-4.478,-4.418,-4.478,-5.076,-5.502,-5.998,7777,-6.123,-6.06,-6.439
3267,2011,5,17,2,-4.124,-4.124,-4.477,-4.418,-4.477,-5.075,-5.502,-5.935,7777,-6.123,-6.06,-6.439
3268,2011,5,17,3,-4.124,-4.124,-4.477,-4.418,-4.477,-5.075,-5.501,-5.997,7777,-6.122,-6.059,-6.438
3269,2011,5,17,4,-4.122,-4.122,-4.475,-4.475,-4.475,-5.073,-5.499,-5.933,7777,-6.12,-6.058,-6.436
3270,2011,5,17,5,-4.113,-4.113,-4.525,-4.465,-4.465,-5.063,-5.489,-5.922,7777,-6.11,-6.047,-6.426
3271,2011,5,17,6,-4.091,-4.091,-4.443,-4.443,-4.443,-5.04,-5.466,-5.898,7777,-6.086,-6.023,-6.402
3272,2011,5,17,7,-4.089,-4.089,-4.501,-4.442,-4.442,-5.039,-5.465,-5.959,7777,-6.085,-6.022,-6.4
3273,2011,5,17,8,-4.031,-4.089,-4.501,-4.442,-4.501,-5.039,-5.465,-5.897,7777,-6.085,-6.022,-6.4
3274,2011,5,17,9,-3.948,-4.064,-4.475,-4.416,-4.475,-5.073,-5.499,-5.932,7777,-6.057,-6.057,-6.372
3275,2011,5,17,10,-3.908,-4.024,-4.434,-4.434,-4.493,-5.031,-5.456,-5.951,7777,-6.076,-6.076,-6.391
3276,2011,5,17,11,-3.785,-3.958,-4.367,-4.367,-4.426,-5.023,-5.448,-5.88,7777,-6.067,-6.005,-6.383
3277,2011,5,17,12,-3.666,-3.897,-4.363,-4.363,-4.422,-5.019,-5.444,-5.875,7777,-6.063,-6.063,-6.378
3278,2011,5,17,13,-3.6,-3.83,-4.354,-4.354,-4.413,-5.009,-5.434,-5.865,7777,-6.052,-5.99,-6.367
3279,2011,5,17,14,-3.541,-3.828,-4.294,-4.294,-4.411,-5.007,-5.432,-5.863,7777,-6.05,-6.05,-6.365
3280,2011,5,17,15,-3.484,-3.713,-4.294,-4.294,-4.352,-5.007,-5.371,-5.863,7777,-6.05,-5.988,-6.365
3281,2011,5,17,16,-3.49,-3.719,-4.242,-4.242,-4.359,-4.954,-5.378,-5.871,7777,-6.058,-5.996,-6.373
3282,2011,5,17,17,-3.498,-3.727,-4.25,-4.25,-4.309,-4.962,-5.387,-5.88,7777,-6.005,-6.005,-6.382
3283,2011,5,17,18,-3.498,-3.727,-4.25,-4.25,-4.309,-4.962,-5.387,-5.88,7777,-6.067,-6.005,-6.382
3284,2011,5,17,19,-3.602,-3.717,-4.24,-4.24,-4.299,-4.952,-5.377,-5.808,7777,-5.995,-5.995,-6.372
3285,2011,5,17,20,-3.619,-3.734,-4.199,-4.199,-4.257,-4.91,-5.334,-5.826,7777,-6.013,-5.951,-6.328
3286,2011,5,17,21,-3.684,-3.741,-4.206,-4.206,-4.323,-4.918,-5.403,-5.835,7777,-6.022,-6.022,-6.4
3287,2011,5,17,22,-3.753,-3.753,-4.218,-4.218,-4.218,-4.93,-5.355,-5.785,7777,-5.972,-5.972,-6.35
3288,2011,5,17,23,-3.785,-3.785,-4.192,-4.192,-4.25,-4.904,-5.327,-5.82,7777,-6.007,-5.945,-6.322
3289,2011,5,18,0,-3.806,-3.806,-4.214,-4.155,-4.214,-4.866,-5.35,-5.781,7777,-5.968,-5.968,-6.345
3290,2011,5,18,1,-3.87,-3.812,-4.219,-4.219,-4.278,-4.932,-5.356,-5.85,7777,-6.037,-5.975,-6.352
3291,2011,5,18,2,-3.871,-3.813,-4.221,-4.221,-4.221,-4.874,-5.297,-5.852,7777,-6.039,-5.976,-6.354
3292,2011,5,18,3,-3.871,-3.813,-4.221,-4.221,-4.221,-4.874,-5.297,-5.79,7777,-6.039,-5.976,-6.354
3293,2011,5,18,4,-3.852,-3.852,-4.26,-4.202,-4.202,-4.914,-5.338,-5.769,7777,-6.018,-6.018,-6.333
3294,2011,5,18,5,-3.828,-3.828,-4.236,-4.177,-4.236,-4.828,-5.312,-5.804,7777,-5.991,-5.928,-6.305
3295,2011,5,18,6,-3.786,-3.786,-4.251,-4.192,-4.251,-4.844,-5.327,-5.82,7777,-6.006,-5.944,-6.321
3296,2011,5,18,7,-3.785,-3.785,-4.191,-4.191,-4.191,-4.842,-5.265,-5.756,7777,-5.942,-5.942,-6.319
3297,2011,5,18,8,-3.712,-3.769,-4.176,-4.176,-4.234,-4.826,-5.31,-5.801,7777,-5.988,-5.988,-6.365
3298,2011,5,18,9,-3.605,-3.72,-4.184,-4.184,-4.184,-4.835,-5.318,-5.748,7777,-5.996,-5.996,-6.31
3299,2011,5,18,10,-3.516,-3.688,-4.151,-4.093,-4.209,-4.801,-5.283,-5.774,7777,-5.961,-5.961,-6.274
3300,2011,5,18,11,-3.371,-3.599,-4.119,-4.119,-4.177,-4.768,-5.25,-5.74,7777,-5.926,-5.926,-6.302
3301,2011,5,18,12,-3.352,-3.58,-4.099,-4.099,-4.158,-4.807,-5.229,-5.719,7777,-5.967,-5.967,-6.344
3302,2011,5,18,13,-3.222,-3.506,-4.024,-4.082,-4.14,-4.79,-5.211,-5.701,7777,-5.949,-5.949,-6.325
3303,2011,5,18,14,-2.974,-3.369,-3.942,-4,-4.117,-4.766,-5.247,-5.737,7777,-5.924,-5.924,-6.3
3304,2011,5,18,15,-2.87,-3.32,-3.893,-4.009,-4.067,-4.775,-5.196,-5.685,7777,-5.934,-5.934,-6.31
3305,2011,5,18,16,-2.87,-3.264,-3.893,-3.951,-4.067,-4.715,-5.196,-5.686,7777,-5.934,-5.872,-6.31
3306,2011,5,18,17,-2.981,-3.319,-3.834,-3.949,-4.008,-4.713,-5.194,-5.684,7777,-5.932,-5.869,-6.245
3307,2011,5,18,18,-3.063,-3.289,-3.861,-3.919,-3.977,-4.682,-5.162,-5.651,7777,-5.899,-5.899,-6.275
3308,2011,5,18,19,-3.061,-3.287,-3.859,-3.859,-3.975,-4.739,-5.16,-5.649,7777,-5.959,-5.897,-6.272
3309,2011,5,18,20,-2.978,-3.203,-3.774,-3.831,-3.947,-4.711,-5.192,-5.681,7777,-5.929,-5.867,-6.306
3310,2011,5,18,21,-2.87,-3.094,-3.662,-3.778,-3.893,-4.656,-5.196,-5.686,7777,-5.872,-5.872,-6.247
3311,2011,5,18,22,-2.814,-3.038,-3.605,-3.662,-3.835,-4.656,-5.136,-5.686,7777,-5.872,-5.872,-6.247
3312,2011,5,18,23,-2.797,-2.965,-3.588,-3.645,-3.818,-4.638,-5.178,-5.668,7777,-5.916,-5.916,-6.292
3313,2011,5,19,0,-2.756,-2.923,-3.488,-3.603,-3.775,-4.653,-5.133,-5.684,7777,-5.932,-5.932,-6.245
3314,2011,5,19,1,-2.71,-2.877,-3.441,-3.498,-3.67,-4.604,-5.144,-5.632,7777,-5.88,-5.88,-6.256
3315,2011,5,19,2,-2.654,-2.821,-3.384,-3.498,-3.612,-4.604,-5.144,-5.632,7777,-5.88,-5.88,-6.256
3316,2011,5,19,3,-2.599,-2.765,-3.327,-3.384,-3.555,-4.545,-5.083,-5.632,7777,-5.88,-5.88,-6.256
3317,2011,5,19,4,-2.601,-2.711,-3.272,-3.386,-3.5,-4.487,-5.085,-5.634,7777,-5.882,-5.882,-6.258
3318,2011,5,19,5,-2.599,-2.71,-3.27,-3.327,-3.498,-4.485,-5.083,-5.632,7777,-5.88,-5.88,-6.256
3319,2011,5,19,6,-2.526,-2.692,-3.252,-3.309,-3.48,-4.467,-5.124,-5.613,7777,-5.86,-5.86,-6.236
3320,2011,5,19,7,-2.427,-2.592,-3.151,-3.207,-3.377,-4.36,-5.075,-5.563,7777,-5.81,-5.81,-6.184
3321,2011,5,19,8,-2.403,-2.568,-3.182,-3.238,-3.352,-4.393,-5.048,-5.596,7777,-5.844,-5.844,-6.219
